Frame,U1,RF1
0,0.0,-0.0
4,0.25,4258.461
6,0.5,8410.245
9,0.75,10793.852
12,1.0,11655.871
13,1.25,12009.4
14,1.5,12205.706
15,1.75,12319.845
16,2.0,12400.409
17,2.25,12470.116
18,2.5,12532.696
19,2.75,12589.531
20,3.0,12642.999
21,3.25,12691.861
22,3.5,12738.498
23,3.75,12784.52
24,4.0,12829.963
27,3.75,8516.696
28,3.5,4212.447
29,3.25,-83.14086
30,3.0,-4113.577
31,2.75,-6930.647
34,2.5,-8770.314
35,2.25,-9858.757
36,2.0,-10497.181
37,1.75,-10914.604
38,1.5,-11207.682
39,1.25,-11427.371
40,1.0,-11604.406
41,0.75,-11744.53
42,0.5,-11852.716
43,0.25,-11944.387
44,0.0,-12024.664
45,-0.25,-12097.308
46,-0.5,-12165.829
47,-0.75,-12230.363
48,-1.0,-12292.601
49,-1.25,-12353.901
50,-1.5,-12414.154
51,-1.75,-12472.671
52,-2.0,-12529.346
53,-2.25,-12578.392
54,-2.5,-12626.154
55,-2.75,-12673.544
56,-3.0,-12720.973
57,-3.25,-12766.081
58,-3.5,-12810.514
59,-3.75,-12855.042
60,-4.0,-12899.451
63,-3.75,-8581.315
64,-3.5,-4272.0996
65,-3.25,28.627619
66,-3.0,4021.5107
67,-2.75,6908.8794
68,-2.5,8733.966
69,-2.25,9893.656
72,-2.0,10518.945
73,-1.75,10900.866
74,-1.5,11189.634
75,-1.25,11419.803
76,-1.0,11604.296
77,-0.75,11751.554
78,-0.5,11857.755
79,-0.25,11940.406
80,0.0,12007.364
